title,year,engine_size,fuel_type,milage,price
BMW 3 Series 318D M Sport,2013,2.0,Diesel,77895,
BMW 3 Series 320 (e90) D Sport Plus Edition 4DR,2011,97000,mi,19,8450
BMW 3 Series 330E Hybrid Auto SE Spec,2016,2.0,Hybrid,52196,19950
BMW 3 Series 316D SE With Black Leather Seats Onl,2013,2.0,Diesel,105450,11949
2011 bmw 320d se cheap vrt fsh leather mot 95k,2011,2.0,Diesel,95000,
2012 BMW 320D SE *M-PERFORMANCE KIT*,2012,2.0,Diesel,112000,
2004 Bmw 320,2004,2.0,Diesel,123,
BMW 320d NEW NCT 21/F10 ALLOYS MINT,2006,2.0,Diesel,156031,
**MINT BMW 320D 2010 FSH** LOOK!,2010,2.0,Diesel,240000,3800
2016 Bmw 3 series m sport,2016,2.0,Diesel,108000,
BMW 3 Series 318 F30 D SE 4DR,2016,2.0,Diesel,89308,18995
*151 320D M-Sport Plus 188bhp Performance €85pw,2015,2.0,Diesel,51000,18950
BMW 3-Series 2011 NCT 5/20,2011,2.0,Diesel,139000,
BMW 318 - LOW MILEAGE - TAX & NCT,2007,2.0,Petrol,140000,
LEATHER / FSH / NCT,2007,2.0,Petrol,184000,899
2008 BMW 316i ES ***TAX and NCT***,2008,1.6,Petrol,203000,
BMW 320d msport 185bhp 2.0 diesel F30,2013,2.0,Diesel,284068,14000
BMW 3 Series 316D SE Z3ap 4DR,2015,2.0,Diesel,72702,
LOVELY BMW 318D SE F30 AUTOMATIC 143BHP 2012,2012,2.0,Diesel,140000,10950
BMW 3 Series 2.0 316 D Sport ( 151 REG ),2015,2.0,Diesel,105554,15950
BMW 3 Series 320d M Sport Touring,2019,1.5,Diesel,7327,37995
BMW 318i M,2007,2.0,Petrol,163000,
BMW 3 Series 330e M-sport Automatic 2.0l Plug In,2017,2.0,Hybrid,69886,24949
BMW 3-Series 2007 318d,2007,2.0,Diesel,130000,
BMW 320d 3-Series F30 2013,2013,2.0,Diesel,138000,8999
BMW 2006 318.New NCT.,2006,2.0,Petrol,243030,
318 bmw msport,2003,2.0,Petrol,166000,
BMW 318D Sports Edition ''NCT+TAX+WARRANTY'',2013,2.0,Diesel,84000,12650
BMW 3 Series 316 D ES Edition Zji1 4DR,2011,2.0,Diesel,172000,8450
BMW 320D Dynamics  142,2014,2.0,Diesel,155000,12950
BMW 3-Series 2015 318d Full Msport Navigation,2015,2.0,Diesel,86000,18950
BMW 320 Touring 2014,2014,2.0,Diesel,177000,
2017 BMW 330 E M SPORT AUTO+..MEGA SPEC.FINANCE!,2017,2.0,Hybrid,65000,24950
2017 BMW 316 D SPORT AUTO..FINANCE!!,2017,2.0,Diesel,14000,22950
BMW 3 Series 320d Coupe SE Fsh/96k,2013,2.0,Diesel,96,11950
BMW 3 Series 320D(E90) Efficient Dynamics,2011,2.0,Diesel,111000,7250
BMW e36 328i Sport $$ PRICE DROP NEED GONE $$,1996,2.8,Petrol,144341,
BMW 320d 3-Series F30 2013,2013,2.0,Diesel,138000,8999
141 BMW 320 M-Sport 184Bhp X-Drive Auto FBMWSH,2014,2.0,Diesel,135039,15950
BMW 3-Series 2010 Diesel NCT 01/21,2010,2.0,Diesel,148000,
2007 BMW 325I Convertible (Finance From €24),2007,3.0,Petrol,118500,4499
2008 BMW 320D M Sport (Finance From €27 Weekly),2008,2.0,Diesel,178000,4999
2014(142)BMW M-Performance (Finance From €53),2014,2.0,Diesel,103553,15999
2015(151) BMW M-Performance (Finance From €53),2015,2.0,Diesel,102729,16999
Bmw 320 automatic 07,2007,2.0,Petrol,124000,1700
2011 BMW 320 Msport 181 bhp,2011,2.0,Diesel,162,6750
BMW 318,1997,1.8,Petrol,89000,1950
**2015 320d M sport**,2015,2.0,Diesel,97000,
BMW,2005,2.0,Petrol,226000,
BMW 320d m sport business edition,2010,2.0,Diesel,148000,
